time,open,high,low,close
1975-01-02,1768.199999999997,1768.999999999997,1758.0999999999972,1759.299999999997
1975-01-03,1757.199999999997,1759.699999999997,1754.699999999997,1758.8999999999971
1975-01-06,1756.199999999997,1758.699999999997,1751.699999999997,1758.5999999999972
1975-01-07,1755.199999999997,1758.199999999997,1752.699999999997,1757.5999999999972
1975-01-08,1760.199999999997,1764.199999999997,1760.199999999997,1761.5999999999972
1975-01-09,1763.199999999997,1763.299999999997,1761.199999999997,1762.499999999997
1975-01-10,1761.199999999997,1765.499999999997,1760.699999999997,1765.499999999997
1975-01-13,1765.199999999997,1765.199999999997,1762.799999999997,1762.799999999997
1975-01-14,1761.199999999997,1762.799999999997,1760.699999999997,1762.799999999997
1975-01-15,1762.999999999997,1763.5999999999972,1761.499999999997,1761.499999999997
1975-01-16,1761.199999999997,1761.199999999997,1758.799999999997,1759.299999999997
1975-01-17,1758.8999999999971,1759.999999999997,1756.299999999997,1756.299999999997
1975-01-20,1757.799999999997,1760.3999999999971,1757.799999999997,1760.3999999999971
1975-01-21,1757.8999999999971,1757.8999999999971,1757.8999999999971,1757.8999999999971
1975-01-22,1760.0999999999972,1760.0999999999972,1758.499999999997,1758.499999999997
1975-01-23,1761.199999999997,1763.0999999999972,1760.5999999999972,1760.5999999999972
1975-01-24,1763.199999999997,1764.199999999997,1761.999999999997,1763.699999999997
1975-01-27,1764.199999999997,1764.199999999997,1760.999999999997,1760.999999999997
1975-01-28,1761.499999999997,1761.499999999997,1759.5999999999972,1760.199999999997
1975-01-29,1761.5999999999972,1763.299999999997,1761.5999999999972,1763.299999999997
1975-01-30,1761.2999999999972,1762.2999999999972,1759.5999999999972,1759.8999999999971
1975-01-31,1759.5999999999972,1759.9999999999973,1758.5999999999972,1759.5999999999972
1975-02-03,1760.699999999997,1761.2999999999972,1759.699999999997,1759.8999999999971
1975-02-04,1758.0999999999972,1759.0999999999972,1757.199999999997,1758.8999999999971
1975-02-05,1758.7999999999972,1759.2999999999972,1758.0999999999972,1758.2999999999972
1975-02-06,1756.4999999999973,1758.2999999999972,1755.699999999997,1757.8999999999971
1975-02-07,1758.7999999999972,1758.9999999999973,1757.9999999999973,1758.8999999999971
1975-02-10,1757.5999999999972,1757.9999999999973,1757.0999999999972,1757.199999999997
1975-02-11,1757.8999999999971,1758.699999999997,1752.8999999999971,1758.3999999999971
1975-02-13,1762.0999999999972,1768.2999999999972,1761.7999999999972,1767.3999999999971
1975-02-14,1767.5999999999972,1768.3999999999971,1764.0999999999972,1766.4999999999973
1975-02-18,1763.5999999999972,1767.2999999999972,1763.2999999999972,1766.9999999999973
1975-02-19,1767.5999999999972,1769.5999999999972,1767.0999999999972,1767.199999999997
1975-02-20,1767.2999999999972,1769.9999999999973,1766.9999999999973,1769.2999999999972
1975-02-21,1769.5999999999972,1770.0999999999972,1766.5999999999972,1767.5999999999972
1975-02-24,1768.2999999999972,1769.0999999999972,1768.2999999999972,1768.4999999999973
1975-02-25,1770.5999999999972,1770.5999999999972,1765.699999999997,1765.9999999999973
1975-02-26,1767.0999999999972,1767.2999999999972,1764.7999999999972,1766.7999999999972
1975-02-27,1765.7999999999972,1766.4999999999973,1762.9999999999973,1764.0999999999972
1975-02-28,1764.5999999999972,1764.5999999999972,1762.5999999999972,1764.5999999999972
1975-03-03,1764.8999999999971,1769.0999999999972,1763.7999999999972,1764.199999999997
